ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-04-08T09:32:00.000000000Z,33,2,3572,716.000000000,716.000000000,715.900000000,715.900000000,7,COST
2024-04-08T09:34:00.000000000Z,33,2,3572,716.000000000,716.000000000,716.000000000,716.000000000,3,COST
2024-04-08T10:22:00.000000000Z,33,2,3572,715.230000000,715.230000000,714.880000000,714.880000000,50,COST
2024-04-08T10:31:00.000000000Z,33,2,3572,715.500000000,715.870000000,715.500000000,715.870000000,13,COST
2024-04-08T10:49:00.000000000Z,33,2,3572,715.200000000,715.200000000,715.150000000,715.150000000,5,COST
2024-04-08T10:55:00.000000000Z,33,2,3572,715.150000000,715.150000000,715.150000000,715.150000000,1,COST
2024-04-08T11:00:00.000000000Z,33,2,3572,715.550000000,715.550000000,715.550000000,715.550000000,2,COST
2024-04-08T11:10:00.000000000Z,33,2,3572,714.880000000,714.880000000,714.880000000,714.880000000,2,COST
2024-04-08T11:11:00.000000000Z,33,2,3572,715.610000000,715.610000000,715.600000000,715.600000000,6,COST
2024-04-08T11:15:00.000000000Z,33,2,3572,714.700000000,714.700000000,714.650000000,714.650000000,18,COST
2024-04-08T11:23:00.000000000Z,33,2,3572,714.660000000,714.660000000,714.660000000,714.660000000,1,COST
2024-04-08T11:26:00.000000000Z,33,2,3572,714.650000000,715.510000000,714.650000000,715.510000000,11,COST
2024-04-08T11:30:00.000000000Z,33,2,3572,714.200000000,714.200000000,714.200000000,714.200000000,1,COST
2024-04-08T11:35:00.000000000Z,33,2,3572,715.300000000,715.300000000,715.300000000,715.300000000,1,COST
2024-04-08T11:42:00.000000000Z,33,2,3572,713.610000000,713.610000000,713.610000000,713.610000000,4,COST
2024-04-08T11:46:00.000000000Z,33,2,3572,713.900000000,713.900000000,713.900000000,713.900000000,13,COST
2024-04-08T11:47:00.000000000Z,33,2,3572,713.900000000,713.900000000,713.900000000,713.900000000,2,COST
2024-04-08T11:53:00.000000000Z,33,2,3572,713.910000000,713.910000000,713.910000000,713.910000000,2,COST
2024-04-08T12:04:00.000000000Z,33,2,3572,714.500000000,714.500000000,714.500000000,714.500000000,30,COST
2024-04-08T12:15:00.000000000Z,33,2,3572,713.910000000,713.910000000,713.740000000,713.740000000,20,COST
2024-04-08T12:32:00.000000000Z,33,2,3572,714.060000000,714.060000000,714.060000000,714.060000000,1,COST
2024-04-08T12:37:00.000000000Z,33,2,3572,714.100000000,714.100000000,714.100000000,714.100000000,20,COST
2024-04-08T12:38:00.000000000Z,33,2,3572,714.000000000,714.000000000,714.000000000,714.000000000,13,COST
